Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,R95,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
Caterpillar,16-Jan-2025,22:00:09,1,,,,0,4,,,,,,,,,,,,,,,15,8,3629,,,,1,9195,,,,3,7339,,,,2,2856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,17-Jan-2025,01:29:59,1,,,,0,7,,,,,,,,,,,,,,,15,6,13914,,,,19,20571,,,,9,20707,,,,4,31762,,,,17,3220,,,,11,9863,,,,3,7288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,18-Jan-2025,04:47:56,1,,,,0,4,,,,,,,,,,,,,,,15,5,5378,,,,20,8350,,,,9,29739,,,,7,5080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,18-Jan-2025,10:21:33,1,,,,0,7,,,,,,,,,,,,,,,15,10,25489,,,,19,31428,,,,15,31492,,,,24,18559,,,,32,9750,,,,12,30345,,,,25,4190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,18-Jan-2025,11:27:42,1,,,,0,4,,,,,,,,,,,,,,,15,25,32390,,,,12,13217,,,,32,8420,,,,24,7305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,18-Jan-2025,16:18:46,1,,,,0,5,,,,,,,,,,,,,,,15,31,15787,,,,26,14978,,,,18,15924,,,,27,27293,,,,16,27084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,18-Jan-2025,17:24:12,1,,,,0,5,,,,,,,,,,,,,,,15,26,16290,,,,27,7845,,,,18,20782,,,,8,12654,,,,16,8078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,18-Jan-2025,19:00:44,1,,,,0,5,,,,,,,,,,,,,,,15,23,19901,,,,10,881,,,,8,26568,,,,16,4449,,,,27,6742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,19-Jan-2025,04:19:19,1,,,,0,6,,,,,,,,,,,,,,,15,5,32620,,,,20,30362,,,,9,7868,,,,7,4235,,,,29,25504,,,,4,15275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,19-Jan-2025,05:24:04,1,,,,0,5,,,,,,,,,,,,,,,15,7,32068,,,,5,15772,,,,20,32220,,,,13,22350,,,,17,22244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
