DeployID,Ptt,DepthSensor,Source,Instr,Date,Duration,Time Offset,Count,LocationQuality,Latitude,Longitude,BadTherm,NumBins,Partial,Depth1,Depth1Error,MinTemp1,MaxTemp1,%Ox1,Discont1,Depth2,Depth2Error,MinTemp2,MaxTemp2,%Ox2,Discont2,Depth3,Depth3Error,MinTemp3,MaxTemp3,%Ox3,Discont3,Depth4,Depth4Error,MinTemp4,MaxTemp4,%Ox4,Discont4,Depth5,Depth5Error,MinTemp5,MaxTemp5,%Ox5,Discont5,Depth6,Depth6Error,MinTemp6,MaxTemp6,%Ox6,Discont6,Depth7,Depth7Error,MinTemp7,MaxTemp7,%Ox7,Discont7,Depth8,Depth8Error,MinTemp8,MaxTemp8,%Ox8,Discont8,Depth9,Depth9Error,MinTemp9,MaxTemp9,%Ox9,Discont9,Depth10,Depth10Error,MinTemp10,MaxTemp10,%Ox10,Discont10,Depth11,Depth11Error,MinTemp11,MaxTemp11,%Ox11,Discont11,Depth12,Depth12Error,MinTemp12,MaxTemp12,%Ox12,Discont12,Depth13,Depth13Error,MinTemp13,MaxTemp13,%Ox13,Discont13,Depth14,Depth14Error,MinTemp14,MaxTemp14,%Ox14,Discont14,Depth15,Depth15Error,MinTemp15,MaxTemp15,%Ox15,Discont15
Selkie,238970,0.500000,Transmission,UT,22:25:00 14-Apr-2025,1.7,4.00,1,,,, ,10,,0.00,0.00,10.225,10.275,,,5.00,0.00,10.225,10.275,,,10.00,0.00,10.225,10.275,,,15.00,0.00,10.225,10.275,,,20.00,0.00,10.225,10.275,,,25.00,0.00,10.225,10.275,,,30.00,0.00,10.225,10.275,,,35.00,0.00,10.225,10.275,,,40.00,0.00,10.225,10.275,,,45.00,0.00,10.225,10.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selkie,238970,0.500000,Transmission,UT,23:00:00 14-Apr-2025,1.7,4.00,1,,,, ,10,,0.00,0.00,10.225,10.275,,,5.00,0.00,10.225,10.275,,,10.00,0.00,10.225,10.275,,,15.00,0.00,10.225,10.275,,,20.00,0.00,10.225,10.275,,,25.00,1.00,10.225,10.275,,,30.00,0.00,10.225,10.275,,,35.00,1.00,10.225,10.275,,,40.00,0.00,10.225,10.275,,,45.00,0.00,10.225,10.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selkie,238970,0.500000,Transmission,UT,19:02:00 17-Apr-2025,16.7,4.00,1,,,, ,9,,0.00,0.00,10.875,10.925,,,5.00,0.00,10.475,10.525,,,10.00,0.00,10.475,10.525,,,15.00,0.00,10.475,10.525,,,20.00,0.00,10.475,10.525,,,25.00,1.00,10.475,10.525,,,30.00,0.00,10.475,10.525,,,35.00,0.00,10.475,10.525,,,40.00,1.00,10.475,10.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selkie,238970,0.500000,Transmission,UT,08:01:00 18-Apr-2025,1.7,4.00,1,,,, ,9,,0.00,0.00,10.425,10.475,,,5.00,0.00,10.425,10.475,,,10.00,0.00,10.425,10.475,,,15.00,0.00,10.425,10.475,,,20.00,0.00,10.425,10.475,,,25.00,0.00,10.425,10.475,,,30.00,0.00,10.425,10.475,,,35.00,0.00,10.425,10.475,,,40.00,0.00,10.425,10.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selkie,238970,0.500000,Transmission,UT,18:09:00 18-Apr-2025,1.7,4.00,1,,,, ,8,,0.00,0.00,10.925,10.975,,,5.00,0.00,10.425,10.475,,,10.00,0.00,10.425,10.475,,,15.00,0.00,10.425,10.475,,,20.00,0.00,10.425,10.475,,,25.00,0.00,10.425,10.475,,,30.00,0.00,10.425,10.475,,,35.00,0.00,10.425,10.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selkie,238970,0.500000,Transmission,UT,06:01:00 19-Apr-2025,1.7,4.00,1,,,, ,7,,0.00,0.00,10.475,10.525,,,5.00,0.00,10.475,10.525,,,10.00,0.00,10.475,10.525,,,15.00,0.00,10.475,10.525,,,20.00,0.00,10.475,10.525,,,25.00,0.00,10.475,10.525,,,30.00,0.00,10.475,10.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selkie,238970,0.500000,Transmission,UT,04:28:00 21-Apr-2025,1.7,4.00,2,,,, ,3,,0.00,0.00,11.975,12.025,,,5.00,0.00,11.725,11.775,,,10.00,0.00,11.675,11.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selkie,238970,0.500000,Transmission,UT,16:00:00 21-Apr-2025,16.7,4.00,3,,,, ,4,,0.00,0.00,12.325,12.375,,,5.00,0.00,11.625,11.675,,,10.00,0.00,11.575,11.625,,,15.00,1.00,11.625,11.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selkie,238970,0.500000,Transmission,UT,23:02:00 26-Apr-2025,16.7,5.00,1,,,, ,9,,0.00,0.00,10.975,11.025,,,5.00,0.00,10.975,11.025,,,10.00,0.00,10.975,11.025,,,15.00,0.00,10.975,11.025,,,20.00,0.00,10.975,11.025,,,25.00,0.00,10.975,11.025,,,30.00,1.00,10.975,11.025,,,35.00,0.00,10.975,11.025,,,40.00,0.00,10.975,11.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selkie,238970,0.500000,Transmission,UT,09:40:00 27-Apr-2025,1.7,5.00,1,,,, ,8,,0.00,0.00,10.975,11.025,,,5.00,0.00,10.975,11.025,,,10.00,0.00,10.925,10.975,,,15.00,0.00,10.925,10.975,,,20.00,0.00,10.925,10.975,,,25.00,0.00,10.925,10.975,,,30.00,0.00,10.925,10.975,,,35.00,0.00,10.925,10.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
