DeployID,Ptt,DepthSensor,Source,Instr,Date,Duration,Time Offset,Count,LocationQuality,Latitude,Longitude,BadTherm,NumBins,Partial,Depth1,Depth1Error,MinTemp1,MaxTemp1,%Ox1,Discont1,Depth2,Depth2Error,MinTemp2,MaxTemp2,%Ox2,Discont2,Depth3,Depth3Error,MinTemp3,MaxTemp3,%Ox3,Discont3,Depth4,Depth4Error,MinTemp4,MaxTemp4,%Ox4,Discont4,Depth5,Depth5Error,MinTemp5,MaxTemp5,%Ox5,Discont5,Depth6,Depth6Error,MinTemp6,MaxTemp6,%Ox6,Discont6,Depth7,Depth7Error,MinTemp7,MaxTemp7,%Ox7,Discont7,Depth8,Depth8Error,MinTemp8,MaxTemp8,%Ox8,Discont8,Depth9,Depth9Error,MinTemp9,MaxTemp9,%Ox9,Discont9,Depth10,Depth10Error,MinTemp10,MaxTemp10,%Ox10,Discont10,Depth11,Depth11Error,MinTemp11,MaxTemp11,%Ox11,Discont11,Depth12,Depth12Error,MinTemp12,MaxTemp12,%Ox12,Discont12,Depth13,Depth13Error,MinTemp13,MaxTemp13,%Ox13,Discont13,Depth14,Depth14Error,MinTemp14,MaxTemp14,%Ox14,Discont14,Depth15,Depth15Error,MinTemp15,MaxTemp15,%Ox15,Discont15,Depth16,Depth16Error,MinTemp16,MaxTemp16,%Ox16,Discont16,Depth17,Depth17Error,MinTemp17,MaxTemp17,%Ox17,Discont17,Depth18,Depth18Error,MinTemp18,MaxTemp18,%Ox18,Discont18,Depth19,Depth19Error,MinTemp19,MaxTemp19,%Ox19,Discont19,Depth20,Depth20Error,MinTemp20,MaxTemp20,%Ox20,Discont20,,,,,
Dung Beetle,238965,0.500000,Transmission,UT,17:01:00 17-Apr-2025,16.7,-2.00,1,,,, ,12,,5.00,0.00,10.425,10.475,,,10.00,0.00,10.225,10.275,,,15.00,0.00,10.175,10.225,,,20.00,0.00,10.125,10.175,,,25.00,0.00,10.175,10.225,,,30.00,0.00,10.175,10.225,,,35.00,0.00,10.075,10.125,,,40.00,0.00,10.075,10.125,,,45.00,0.00,10.075,10.125,,,50.00,0.00,10.025,10.075,,,55.00,0.00,10.025,10.075,,,60.00,0.00,10.075,10.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dung Beetle,238965,0.500000,Transmission,UT,04:06:00 19-Apr-2025,16.7,-2.00,1,,,, ,14,,5.00,0.00,10.525,10.575,,,10.00,0.00,10.525,10.575,,,15.00,0.00,10.525,10.575,,,20.00,0.00,10.525,10.575,,,25.00,0.00,10.275,10.325,,,30.00,0.00,9.875,9.925,,,35.00,0.00,9.875,9.925,,,40.00,0.00,9.875,9.925,,,45.00,0.00,9.875,9.925,,,50.00,0.00,9.875,9.925,,,55.00,0.00,9.825,9.875,,,60.00,0.00,9.825,9.875,,,65.00,0.00,9.825,9.875,,,70.00,0.00,9.825,9.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dung Beetle,238965,0.500000,Transmission,UT,05:00:00 19-Apr-2025,16.7,-2.00,2,,,, ,7,,5.00,0.00,10.525,10.575,,,10.00,0.00,10.525,10.575,,,15.00,0.00,10.525,10.575,,,20.00,0.00,10.525,10.575,,,25.00,0.00,10.475,10.525,,,30.00,0.00,10.225,10.275,,,35.00,0.00,9.875,9.925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dung Beetle,238965,0.500000,Transmission,UT,03:13:00 21-Apr-2025,166.7,-2.00,1,,,, ,15,,5.00,0.00,10.875,10.925,,,10.00,0.00,10.875,10.925,,,15.00,0.00,10.875,10.925,,,20.00,0.00,10.825,10.875,,,25.00,0.00,10.775,10.825,,,30.00,0.00,10.675,10.725,,,35.00,0.00,10.625,10.675,,,40.00,0.00,10.275,10.325,,,45.00,0.00,10.225,10.275,,,50.00,0.00,10.275,10.325,,,55.00,0.00,10.275,10.325,,,60.00,0.00,10.275,10.325,,,65.00,0.00,10.275,10.325,,,70.00,0.00,10.275,10.325,,,75.00,0.00,10.275,10.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dung Beetle,238965,0.500000,Transmission,UT,13:01:00 21-Apr-2025,16.7,-2.00,2,,,, ,15,,5.00,0.00,11.025,11.075,,,10.00,0.00,10.925,10.975,,,15.00,0.00,10.825,10.875,,,20.00,0.00,10.825,10.875,,,25.00,0.00,10.775,10.825,,,30.00,0.00,10.725,10.775,,,35.00,0.00,10.475,10.525,,,40.00,0.00,10.275,10.325,,,45.00,0.00,10.275,10.325,,,50.00,0.00,10.275,10.325,,,55.00,0.00,10.275,10.325,,,60.00,0.00,10.275,10.325,,,65.00,0.00,10.275,10.325,,,70.00,0.00,10.275,10.325,,,75.00,0.00,10.275,10.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dung Beetle,238965,0.500000,Transmission,UT,03:49:00 22-Apr-2025,166.7,-2.00,1,,,, ,15,,5.00,0.00,10.875,10.925,,,10.00,0.00,10.875,10.925,,,15.00,0.00,10.875,10.925,,,20.00,0.00,10.825,10.875,,,25.00,0.00,10.425,10.475,,,30.00,0.00,10.375,10.425,,,35.00,0.00,10.175,10.225,,,40.00,0.00,10.175,10.225,,,45.00,0.00,10.175,10.225,,,50.00,0.00,10.175,10.225,,,55.00,0.00,10.175,10.225,,,60.00,0.00,10.175,10.225,,,65.00,0.00,10.175,10.225,,,70.00,0.00,10.175,10.225,,,75.00,1.00,10.175,10.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dung Beetle,238965,0.500000,Transmission,UT,00:23:00 23-Apr-2025,1.7,-2.00,2,,,, ,4,,5.00,0.00,10.825,10.875,,,10.00,0.00,10.825,10.875,,,15.00,0.00,10.825,10.875,,,20.00,0.00,10.825,10.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dung Beetle,238965,0.500000,Transmission,UT,11:13:00 23-Apr-2025,16.7,-2.00,1,,,, ,15,,5.00,0.00,10.775,10.825,,,10.00,0.00,10.775,10.825,,,15.00,0.00,10.775,10.825,,,20.00,0.00,10.775,10.825,,,25.00,0.00,10.775,10.825,,,30.00,0.00,10.725,10.775,,,35.00,0.00,10.225,10.275,,,40.00,0.00,10.125,10.175,,,45.00,0.00,10.125,10.175,,,50.00,0.00,10.125,10.175,,,55.00,0.00,10.125,10.175,,,60.00,0.00,10.125,10.175,,,65.00,0.00,10.125,10.175,,,70.00,0.00,10.125,10.175,,,75.00,0.00,10.125,10.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dung Beetle,238965,0.500000,Transmission,UT,12:29:00 23-Apr-2025,16.7,-2.00,2,,,, ,15,,5.00,0.00,10.775,10.825,,,10.00,0.00,10.725,10.775,,,15.00,0.00,10.725,10.775,,,20.00,0.00,10.725,10.775,,,25.00,0.00,10.725,10.775,,,30.00,0.00,10.425,10.475,,,35.00,0.00,10.125,10.175,,,40.00,0.00,10.075,10.125,,,45.00,0.00,10.075,10.125,,,50.00,0.00,10.075,10.125,,,55.00,0.00,10.075,10.125,,,60.00,0.00,10.075,10.125,,,65.00,0.00,10.075,10.125,,,70.00,0.00,10.075,10.125,,,75.00,0.00,10.075,10.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dung Beetle,238965,0.500000,Transmission,UT,10:01:00 24-Apr-2025,16.7,-2.00,1,,,, ,15,,5.00,0.00,11.025,11.075,,,10.00,0.00,10.975,11.025,,,15.00,0.00,10.975,11.025,,,20.00,0.00,10.925,10.975,,,25.00,0.00,10.475,10.525,,,30.00,0.00,10.275,10.325,,,35.00,0.00,10.175,10.225,,,40.00,0.00,10.175,10.225,,,45.00,1.00,10.175,10.225,,,50.00,0.00,10.175,10.225,,,55.00,0.00,10.175,10.225,,,60.00,0.00,10.175,10.225,,,65.00,0.00,10.175,10.225,,,70.00,0.00,10.175,10.225,,,75.00,1.00,10.175,10.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
