DeployID,Ptt,DepthSensor,Source,Instr,Date,Duration,Time Offset,Count,LocationQuality,Latitude,Longitude,BadTherm,NumBins,Partial,Depth1,Depth1Error,MinTemp1,MaxTemp1,%Ox1,Discont1,Depth2,Depth2Error,MinTemp2,MaxTemp2,%Ox2,Discont2,Depth3,Depth3Error,MinTemp3,MaxTemp3,%Ox3,Discont3,Depth4,Depth4Error,MinTemp4,MaxTemp4,%Ox4,Discont4,Depth5,Depth5Error,MinTemp5,MaxTemp5,%Ox5,Discont5,Depth6,Depth6Error,MinTemp6,MaxTemp6,%Ox6,Discont6,Depth7,Depth7Error,MinTemp7,MaxTemp7,%Ox7,Discont7,Depth8,Depth8Error,MinTemp8,MaxTemp8,%Ox8,Discont8,Depth9,Depth9Error,MinTemp9,MaxTemp9,%Ox9,Discont9,Depth10,Depth10Error,MinTemp10,MaxTemp10,%Ox10,Discont10,Depth11,Depth11Error,MinTemp11,MaxTemp11,%Ox11,Discont11,Depth12,Depth12Error,MinTemp12,MaxTemp12,%Ox12,Discont12,Depth13,Depth13Error,MinTemp13,MaxTemp13,%Ox13,Discont13,Depth14,Depth14Error,MinTemp14,MaxTemp14,%Ox14,Discont14,Depth15,Depth15Error,MinTemp15,MaxTemp15,%Ox15,Discont15,Depth16,Depth16Error,MinTemp16,MaxTemp16,%Ox16,Discont16,Depth17,Depth17Error,MinTemp17,MaxTemp17,%Ox17,Discont17,Depth18,Depth18Error,MinTemp18,MaxTemp18,%Ox18,Discont18,Depth19,Depth19Error,MinTemp19,MaxTemp19,%Ox19,Discont19,Depth20,Depth20Error,MinTemp20,MaxTemp20,%Ox20,Discont20,Depth21,Depth21Error,MinTemp21,MaxTemp21,%Ox21,Discont21,,,,,
Purple,238969,0.500000,Transmission,UT,17:01:00 23-Feb-2025,1.7,0.00,1,,,, ,14,,0.00,0.00,9.825,9.875,,,5.00,0.00,9.825,9.875,,,10.00,0.00,9.825,9.875,,,15.00,0.00,9.825,9.875,,,20.00,0.00,9.825,9.875,,,25.00,0.00,9.825,9.875,,,30.00,0.00,9.825,9.875,,,35.00,0.00,9.825,9.875,,,40.00,0.00,9.825,9.875,,,45.00,0.00,9.825,9.875,,,50.00,0.00,9.825,9.875,,,55.00,0.00,9.825,9.875,,,60.00,0.00,9.825,9.875,,,65.00,1.00,9.825,9.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,238969,0.500000,Transmission,UT,15:03:00 26-Feb-2025,1.7,0.00,2,,,, ,8,,0.00,0.00,10.625,10.675,,,5.00,0.00,10.625,10.675,,,10.00,0.00,10.625,10.675,,,15.00,0.00,10.625,10.675,,,20.00,0.00,10.625,10.675,,,25.00,0.00,10.625,10.675,,,30.00,0.00,10.625,10.675,,,35.00,0.00,10.625,10.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,238969,0.500000,Transmission,UT,12:16:00 28-Feb-2025,16.7,0.00,2,,,, ,4,,85.00,0.00,10.925,10.975,,,90.00,0.00,10.925,10.975,,,95.00,0.00,10.925,10.975,,,100.00,1.00,10.925,10.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,238969,0.500000,Transmission,UT,11:03:00 01-Mar-2025,16.7,0.00,3,,,, ,21,,0.00,1.00,11.575,11.625,,,5.00,0.00,11.575,11.625,,,10.00,0.00,11.575,11.625,,,15.00,0.00,11.575,11.625,,,20.00,0.00,11.575,11.625,,,25.00,0.00,11.575,11.625,,,30.00,0.00,11.575,11.625,,,35.00,0.00,11.575,11.625,,,40.00,0.00,11.575,11.625,,,45.00,0.00,11.575,11.625,,,50.00,0.00,11.575,11.625,,,55.00,0.00,11.575,11.625,,,60.00,0.00,11.575,11.625,,,65.00,0.00,11.575,11.625,,,70.00,0.00,11.575,11.625,,,75.00,0.00,11.575,11.625,,,80.00,0.00,11.575,11.625,,,85.00,0.00,11.575,11.625,,,90.00,0.00,11.575,11.625,,,95.00,0.00,11.575,11.625,,,100.00,0.00,11.575,11.625,,,,,,,
Purple,238969,0.500000,Transmission,UT,10:17:00 02-Mar-2025,1.7,0.00,1,,,, ,4,,85.00,0.00,11.275,11.325,,,90.00,0.00,11.275,11.325,,,95.00,0.00,11.275,11.325,,,100.00,0.00,11.275,11.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,238969,0.500000,Transmission,UT,22:00:00 02-Mar-2025,16.7,0.00,1,,,, ,17,,0.00,1.00,11.075,11.125,,,5.00,0.00,11.125,11.175,,,10.00,0.00,11.125,11.175,,,15.00,0.00,11.125,11.175,,,20.00,0.00,11.125,11.175,,,25.00,0.00,11.125,11.175,,,30.00,0.00,11.125,11.175,,,35.00,0.00,11.125,11.175,,,40.00,0.00,11.125,11.175,,,45.00,0.00,11.125,11.175,,,50.00,0.00,11.125,11.175,,,55.00,0.00,11.125,11.175,,,60.00,0.00,11.125,11.175,,,65.00,0.00,11.125,11.175,,,70.00,0.00,11.125,11.175,,,75.00,0.00,11.125,11.175,,,80.00,0.00,11.125,11.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,238969,0.500000,Transmission,UT,09:04:00 03-Mar-2025,16.7,0.00,2,,,, ,2,,85.00,0.00,10.975,11.025,,,90.00,0.00,10.975,11.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,238969,0.500000,Transmission,UT,10:03:00 03-Mar-2025,16.7,0.00,1,,,, ,1,,85.00,0.00,10.975,11.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,238969,0.500000,Transmission,UT,18:22:00 06-Mar-2025,16.7,0.00,1,,,, ,15,,0.00,0.00,10.875,10.925,,,5.00,0.00,10.875,10.925,,,10.00,0.00,10.825,10.875,,,15.00,0.00,10.825,10.875,,,20.00,0.00,10.825,10.875,,,25.00,0.00,10.825,10.875,,,30.00,0.00,10.825,10.875,,,35.00,0.00,10.825,10.875,,,40.00,0.00,10.825,10.875,,,45.00,0.00,10.825,10.875,,,50.00,0.00,10.825,10.875,,,55.00,0.00,10.825,10.875,,,60.00,0.00,10.825,10.875,,,65.00,0.00,10.825,10.875,,,70.00,0.00,10.825,10.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,238969,0.500000,Transmission,UT,06:03:00 07-Mar-2025,16.7,0.00,1,,,, ,16,,0.00,1.00,10.875,10.925,,,5.00,0.00,10.875,10.925,,,10.00,0.00,10.875,10.925,,,15.00,0.00,10.875,10.925,,,20.00,0.00,10.875,10.925,,,25.00,0.00,10.825,10.875,,,30.00,0.00,10.825,10.875,,,35.00,0.00,10.825,10.875,,,40.00,0.00,10.825,10.875,,,45.00,0.00,10.825,10.875,,,50.00,0.00,10.825,10.875,,,55.00,0.00,10.825,10.875,,,60.00,0.00,10.825,10.875,,,65.00,0.00,10.825,10.875,,,70.00,0.00,10.825,10.875,,,75.00,1.00,10.825,10.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
