Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,R95,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
Purple,16-Jan-2025,01:07:22,1,,,,0,6,,,,,,,,,,,,,,,15,9,16351,,,,17,32227,,,,3,29784,,,,19,29637,,,,6,11584,,,,4,23349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,16-Jan-2025,02:17:14,1,,,,0,4,,,,,,,,,,,,,,,15,6,25727,,,,9,23622,,,,3,17001,,,,4,24416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,16-Jan-2025,06:41:20,2,,,,0,5,,,,,,,,,,,,,,,15,5,7218,,,,20,24967,,,,13,25882,,,,30,11537,,,,22,1066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,16-Jan-2025,07:32:37,1,,,,0,5,,,,,,,,,,,,,,,15,23,19532,,,,15,15639,,,,13,14230,,,,14,10794,,,,22,18166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,16-Jan-2025,13:27:58,1,,,,0,4,,,,,,,,,,,,,,,15,12,3843,,,,25,10690,,,,11,3103,,,,29,29988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,17-Jan-2025,06:46:36,1,,,,0,5,,,,,,,,,,,,,,,15,5,17277,,,,22,23940,,,,20,11403,,,,14,8642,,,,30,11580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,17-Jan-2025,10:02:10,1,,,,0,7,,,,,,,,,,,,,,,15,12,32173,,,,19,12551,,,,24,7759,,,,10,706,,,,15,11090,,,,17,27635,,,,13,3458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,17-Jan-2025,12:21:48,1,,,,0,5,,,,,,,,,,,,,,,15,32,31770,,,,25,28407,,,,12,7758,,,,28,25946,,,,11,17818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,18-Jan-2025,07:00:01,1,,,,0,5,,,,,,,,,,,,,,,15,15,17630,,,,13,21657,,,,5,889,,,,20,21575,,,,14,26544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,18-Jan-2025,08:01:28,1,,,,0,7,,,,,,,,,,,,,,,15,13,15198,,,,22,32167,,,,5,18487,,,,14,563,,,,24,17474,,,,15,23233,,,,23,28722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
