DeployID,Ptt,DepthSensor,Source,Instr,Date,Duration,Time Offset,Count,LocationQuality,Latitude,Longitude,BadTherm,NumBins,Partial,Depth1,Depth1Error,MinTemp1,MaxTemp1,%Ox1,Discont1,Depth2,Depth2Error,MinTemp2,MaxTemp2,%Ox2,Discont2,Depth3,Depth3Error,MinTemp3,MaxTemp3,%Ox3,Discont3,Depth4,Depth4Error,MinTemp4,MaxTemp4,%Ox4,Discont4,Depth5,Depth5Error,MinTemp5,MaxTemp5,%Ox5,Discont5,Depth6,Depth6Error,MinTemp6,MaxTemp6,%Ox6,Discont6,Depth7,Depth7Error,MinTemp7,MaxTemp7,%Ox7,Discont7,Depth8,Depth8Error,MinTemp8,MaxTemp8,%Ox8,Discont8,Depth9,Depth9Error,MinTemp9,MaxTemp9,%Ox9,Discont9,Depth10,Depth10Error,MinTemp10,MaxTemp10,%Ox10,Discont10,Depth11,Depth11Error,MinTemp11,MaxTemp11,%Ox11,Discont11,Depth12,Depth12Error,MinTemp12,MaxTemp12,%Ox12,Discont12,Depth13,Depth13Error,MinTemp13,MaxTemp13,%Ox13,Discont13,Depth14,Depth14Error,MinTemp14,MaxTemp14,%Ox14,Discont14,Depth15,Depth15Error,MinTemp15,MaxTemp15,%Ox15,Discont15,Depth16,Depth16Error,MinTemp16,MaxTemp16,%Ox16,Discont16,Depth17,Depth17Error,MinTemp17,MaxTemp17,%Ox17,Discont17,Depth18,Depth18Error,MinTemp18,MaxTemp18,%Ox18,Discont18,,,,,
Leaf Cutter,225759,0.500000,Transmission,UT,20:10:00 26-Apr-2025,16.7,1.00,2,,,, ,18,,0.00,0.00,12.725,12.775,,,5.00,0.00,12.375,12.425,,,10.00,0.00,12.325,12.375,,,15.00,0.00,12.275,12.325,,,20.00,0.00,12.025,12.075,,,25.00,0.00,11.575,11.625,,,30.00,0.00,11.175,11.225,,,35.00,0.00,11.125,11.175,,,40.00,0.00,11.125,11.175,,,45.00,0.00,11.125,11.175,,,50.00,0.00,11.125,11.175,,,55.00,0.00,11.125,11.175,,,60.00,0.00,11.125,11.175,,,65.00,0.00,11.125,11.175,,,70.00,0.00,11.125,11.175,,,75.00,0.00,11.125,11.175,,,80.00,0.00,11.125,11.175,,,85.00,0.00,11.125,11.175,,,,,,,
Leaf Cutter,225759,0.500000,Transmission,UT,07:02:00 27-Apr-2025,1.7,1.00,1,,,, ,14,,0.00,0.00,12.275,12.325,,,5.00,0.00,12.275,12.325,,,10.00,0.00,12.025,12.075,,,15.00,1.00,11.975,12.025,,,20.00,0.00,11.675,11.725,,,25.00,0.00,11.525,11.575,,,30.00,0.00,11.475,11.525,,,35.00,0.00,11.375,11.425,,,40.00,0.00,11.425,11.475,,,45.00,0.00,11.375,11.425,,,50.00,0.00,11.325,11.375,,,55.00,0.00,11.275,11.325,,,60.00,0.00,11.275,11.325,,,65.00,0.00,11.275,11.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leaf Cutter,225759,0.500000,Transmission,UT,19:00:00 27-Apr-2025,16.7,1.00,4,,,, ,11,,0.00,0.00,11.475,11.525,,,5.00,1.00,11.475,11.525,,,10.00,0.00,11.475,11.525,,,15.00,0.00,11.475,11.525,,,20.00,0.00,11.475,11.525,,,25.00,0.00,11.475,11.525,,,30.00,0.00,11.475,11.525,,,35.00,0.00,11.475,11.525,,,40.00,0.00,11.475,11.525,,,45.00,0.00,11.475,11.525,,,50.00,0.00,11.475,11.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leaf Cutter,225759,0.500000,Transmission,UT,20:00:00 27-Apr-2025,16.7,1.00,1,,,, ,11,,0.00,0.00,11.525,11.575,,,5.00,0.00,11.525,11.575,,,10.00,0.00,11.625,11.675,,,15.00,0.00,11.525,11.575,,,20.00,0.00,11.525,11.575,,,25.00,0.00,11.525,11.575,,,30.00,0.00,11.525,11.575,,,35.00,0.00,11.525,11.575,,,40.00,0.00,11.525,11.575,,,45.00,0.00,11.525,11.575,,,50.00,0.00,11.525,11.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leaf Cutter,225759,0.500000,Transmission,UT,18:04:00 28-Apr-2025,16.7,1.00,2,,,, ,15,,0.00,0.00,12.975,13.025,,,5.00,0.00,12.975,13.025,,,10.00,0.00,12.675,12.725,,,15.00,0.00,12.025,12.075,,,20.00,0.00,11.925,11.975,,,25.00,0.00,11.375,11.425,,,30.00,0.00,11.375,11.425,,,35.00,0.00,11.325,11.375,,,40.00,0.00,11.325,11.375,,,45.00,0.00,11.325,11.375,,,50.00,1.00,11.325,11.375,,,55.00,0.00,11.325,11.375,,,60.00,0.00,11.325,11.375,,,65.00,0.00,11.325,11.375,,,70.00,0.00,11.325,11.375,,,,,,,,,,,,,,,,,,,,,,,,,
Leaf Cutter,225759,0.500000,Transmission,UT,19:03:00 28-Apr-2025,16.7,1.00,1,,,, ,14,,0.00,0.00,12.875,12.925,,,5.00,0.00,12.775,12.825,,,10.00,0.00,12.725,12.775,,,15.00,0.00,12.475,12.525,,,20.00,0.00,11.825,11.875,,,25.00,0.00,11.525,11.575,,,30.00,0.00,11.375,11.425,,,35.00,0.00,11.375,11.425,,,40.00,0.00,11.375,11.425,,,45.00,1.00,11.325,11.375,,,50.00,0.00,11.325,11.375,,,55.00,0.00,11.325,11.375,,,60.00,0.00,11.325,11.375,,,65.00,0.00,11.325,11.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leaf Cutter,225759,0.500000,Transmission,UT,05:29:00 29-Apr-2025,1.7,1.00,2,,,, ,13,,0.00,0.00,12.075,12.125,,,5.00,0.00,12.025,12.075,,,10.00,0.00,11.725,11.775,,,15.00,0.00,11.375,11.425,,,20.00,0.00,11.325,11.375,,,25.00,0.00,11.325,11.375,,,30.00,0.00,11.325,11.375,,,35.00,1.00,11.325,11.375,,,40.00,0.00,11.325,11.375,,,45.00,0.00,11.325,11.375,,,50.00,0.00,11.325,11.375,,,55.00,0.00,11.325,11.375,,,60.00,0.00,11.325,11.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leaf Cutter,225759,0.500000,Transmission,UT,17:02:00 29-Apr-2025,16.7,1.00,1,,,, ,15,,0.00,0.00,12.025,12.075,,,5.00,0.00,12.025,12.075,,,10.00,0.00,11.975,12.025,,,15.00,0.00,11.975,12.025,,,20.00,0.00,11.925,11.975,,,25.00,0.00,11.875,11.925,,,30.00,0.00,11.825,11.875,,,35.00,0.00,11.825,11.875,,,40.00,0.00,11.825,11.875,,,45.00,0.00,11.825,11.875,,,50.00,0.00,11.825,11.875,,,55.00,0.00,11.825,11.875,,,60.00,0.00,11.825,11.875,,,65.00,0.00,11.825,11.875,,,70.00,0.00,11.825,11.875,,,,,,,,,,,,,,,,,,,,,,,,,
Leaf Cutter,225759,0.500000,Transmission,UT,04:36:00 30-Apr-2025,16.7,1.00,1,,,, ,13,,0.00,0.00,11.825,11.875,,,5.00,0.00,11.825,11.875,,,10.00,0.00,11.825,11.875,,,15.00,0.00,11.825,11.875,,,20.00,0.00,11.825,11.875,,,25.00,0.00,11.825,11.875,,,30.00,0.00,11.825,11.875,,,35.00,0.00,11.875,11.925,,,40.00,0.00,11.825,11.875,,,45.00,0.00,11.825,11.875,,,50.00,0.00,11.875,11.925,,,55.00,0.00,11.825,11.875,,,60.00,0.00,11.825,11.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leaf Cutter,225759,0.500000,Transmission,UT,05:02:00 30-Apr-2025,16.7,1.00,2,,,, ,14,,0.00,0.00,11.825,11.875,,,5.00,0.00,11.825,11.875,,,10.00,0.00,11.825,11.875,,,15.00,0.00,11.825,11.875,,,20.00,0.00,11.825,11.875,,,25.00,0.00,11.825,11.875,,,30.00,0.00,11.825,11.875,,,35.00,0.00,11.825,11.875,,,40.00,0.00,11.825,11.875,,,45.00,0.00,11.825,11.875,,,50.00,0.00,11.825,11.875,,,55.00,0.00,11.825,11.875,,,60.00,0.00,11.825,11.875,,,65.00,0.00,11.825,11.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
