Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,R95,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
Sunbeetle,14-Nov-2024,07:36:32,1,1.000000,,,0,4,,,,,,,,,,,,,,,15,7,17804,,,,9,28662,,,,11,10332,,,,6,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,14-Nov-2024,09:00:01,1,1.000000,,,0,6,,,,,,,,,,,,,,,15,9,19338,,,,11,12341,,,,30,23385,,,,7,11854,,,,5,1058,,,,20,25119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,14-Nov-2024,16:23:11,1,1.000000,,,0,6,,,,,,,,,,,,,,,15,24,3198,,,,32,12450,,,,25,14324,,,,29,14477,,,,11,29872,,,,12,18209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,15-Nov-2024,06:46:53,1,1.000000,,,0,6,,,,,,,,,,,,,,,15,7,23575,,,,11,15772,,,,3,428,,,,19,4474,,,,9,25248,,,,4,19943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,15-Nov-2024,07:00:00,3,1.000000,,,0,4,,,,,,,,,,,,,,,15,6,32670,,,,20,11055,,,,11,22306,,,,9,20830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,15-Nov-2024,09:38:25,2,1.000000,,,0,6,,,,,,,,,,,,,,,15,7,27622,,,,5,5815,,,,9,26152,,,,20,17002,,,,13,26552,,,,30,26625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,15-Nov-2024,14:29:00,1,1.000000,,,0,4,,,,,,,,,,,,,,,15,24,3486,,,,15,22542,,,,12,13404,,,,19,27428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,16-Nov-2024,06:00:01,1,1.000000,,,0,5,,,,,,,,,,,,,,,15,9,15889,,,,17,20098,,,,19,16694,,,,3,28466,,,,4,23072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,16-Nov-2024,07:00:21,2,1.000000,,,0,6,,,,,,,,,,,,,,,15,9,10686,,,,6,21952,,,,11,27655,,,,20,20484,,,,7,11776,,,,4,29131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,16-Nov-2024,10:43:13,1,1.000000,,,0,7,,,,,,,,,,,,,,,15,20,18586,,,,30,10084,,,,14,4724,,,,15,30022,,,,7,32720,,,,5,9305,,,,13,12216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,16-Nov-2024,17:50:09,2,1.000000,,,0,5,,,,,,,,,,,,,,,15,29,15853,,,,28,11558,,,,32,26452,,,,11,24556,,,,25,5232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,17-Nov-2024,15:19:19,1,1.000000,,,0,5,,,,,,,,,,,,,,,15,24,30557,,,,12,6034,,,,19,14837,,,,25,23774,,,,32,27410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,18-Nov-2024,06:14:21,1,1.000000,,,0,6,,,,,,,,,,,,,,,15,9,9402,,,,4,22720,,,,11,4242,,,,6,21665,,,,20,7790,,,,17,21659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,18-Nov-2024,07:24:12,1,1.000000,,,0,5,,,,,,,,,,,,,,,15,11,21835,,,,20,29012,,,,6,28428,,,,9,25026,,,,7,566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,18-Nov-2024,09:53:10,1,1.000000,,,0,4,,,,,,,,,,,,,,,15,13,32112,,,,30,14283,,,,5,10008,,,,20,7152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,18-Nov-2024,19:22:15,1,1.000000,,,0,4,,,,,,,,,,,,,,,15,18,28717,,,,31,13268,,,,26,2980,,,,28,15753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,18-Nov-2024,23:48:25,1,1.000000,,,0,6,,,,,,,,,,,,,,,15,10,28864,,,,8,2014,,,,27,30978,,,,21,1701,,,,2,27752,,,,7,3805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,19-Nov-2024,08:23:24,2,1.000000,,,0,6,,,,,,,,,,,,,,,15,7,2475,,,,11,31429,,,,5,25419,,,,20,19975,,,,30,724,,,,9,28955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,19-Nov-2024,12:59:10,2,1.000000,,,0,6,,,,,,,,,,,,,,,15,23,30532,,,,15,21490,,,,13,26629,,,,24,31542,,,,22,23674,,,,17,9021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,19-Nov-2024,16:52:45,1,1.000000,,,0,5,,,,,,,,,,,,,,,15,25,18422,,,,32,17960,,,,12,16408,,,,28,1584,,,,11,25550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,20-Nov-2024,06:34:28,1,1.000000,,,0,4,,,,,,,,,,,,,,,15,11,17990,,,,4,7370,,,,6,11025,,,,9,31980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,20-Nov-2024,08:37:39,1,1.000000,,,0,4,,,,,,,,,,,,,,,15,30,23715,,,,7,5771,,,,11,2327,,,,20,23980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,20-Nov-2024,10:45:40,1,1.000000,,,0,4,,,,,,,,,,,,,,,15,5,19935,,,,14,21287,,,,30,16,,,,13,3366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,20-Nov-2024,11:57:32,1,1.000000,,,0,7,,,,,,,,,,,,,,,15,23,31380,,,,22,25388,,,,14,31276,,,,15,16158,,,,13,17074,,,,24,25957,,,,30,25700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,21-Nov-2024,07:29:57,1,1.000000,,,0,5,,,,,,,,,,,,,,,15,7,905,,,,9,10681,,,,6,6355,,,,20,15274,,,,30,14600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,21-Nov-2024,08:42:32,2,1.000000,,,0,7,,,,,,,,,,,,,,,15,30,14650,,,,5,7062,,,,7,3430,,,,20,5585,,,,11,16472,,,,9,8535,,,,13,2134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,21-Nov-2024,10:51:24,1,1.000000,,,0,7,,,,,,,,,,,,,,,15,14,29848,,,,30,27581,,,,15,24479,,,,5,22820,,,,22,27680,,,,13,32375,,,,20,30232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,21-Nov-2024,13:30:08,1,1.000000,,,0,6,,,,,,,,,,,,,,,15,23,25890,,,,24,12942,,,,15,8171,,,,12,4845,,,,13,27774,,,,22,27337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,21-Nov-2024,17:21:22,1,1.000000,,,0,4,,,,,,,,,,,,,,,15,31,23019,,,,25,13905,,,,28,23182,,,,29,25706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,22-Nov-2024,05:49:03,1,1.000000,,,0,6,,,,,,,,,,,,,,,15,11,14254,,,,6,20830,,,,9,10146,,,,4,13515,,,,3,16562,,,,19,14679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,22-Nov-2024,10:08:10,1,1.000000,,,0,8,,,,,,,,,,,,,,,15,13,5413,,,,5,25608,,,,14,15882,,,,30,10132,,,,20,29724,,,,15,30297,,,,18,5340,,,,7,12063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeetle,22-Nov-2024,12:49:23,1,1.000000,,,0,4,,,,,,,,,,,,,,,15,24,29685,,,,23,24395,,,,17,5968,,,,15,10270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
