"","id","date","lon","lat","x","y","x.se","y.se","logit_g","logit_g.se","g"
"9223","Selkie",2025-04-04 04:00:00,0.249331158669311,50.4169678868321,27.7554176219646,6485.8520417672,3.60435256694145,2.33078423512238,2.20593941577038,1.83836497033278,0.900781605884669
"9224","Selkie",2025-04-04 06:00:00,0.250655607765681,50.4246199709215,27.9028546209541,6487.18533773209,3.07689821140368,1.88788696182594,2.22507821650172,1.82146746689934,0.90247904705847
"9225","Selkie",2025-04-04 08:00:00,0.257043141678007,50.4311941217913,28.613911643499,6488.3309880585,2.72999174074665,1.76742065795304,2.24722900910621,1.77991201086443,0.90441124696573
"9226","Selkie",2025-04-04 10:00:00,0.250579329395824,50.4254159456469,27.8943633516631,6487.32404047608,1.99025456391325,1.22226399312484,2.26014291846011,1.74587998944753,0.905521858721752
"9227","Selkie",2025-04-04 12:00:00,0.283388276602862,50.4302494845307,31.546638648214,6488.16636015571,1.75952607749389,1.20598569181254,2.27725278411547,1.70192411870066,0.906975520739395
"9228","Selkie",2025-04-04 14:00:00,0.306685054975331,50.4532744449397,34.140024153761,6492.18000661697,2.77023868926002,1.79684496293729,2.26561982541922,1.70826533407783,0.905989379651732
"9229","Selkie",2025-04-04 16:00:00,0.315379013079002,50.480909741189,35.1078311428396,6496.99990804369,2.50066296446455,1.77333168099108,2.19464931080807,1.79050933508643,0.899767987142714
"9230","Selkie",2025-04-04 18:00:00,0.31986220531385,50.4994124520985,35.6068978195513,6500.22856943905,0.766389084998053,0.546214874827936,2.15756525522154,1.83455433017655,0.896373608219086
"9231","Selkie",2025-04-04 20:00:00,0.315991027984587,50.485918451124,35.1759603304873,6497.87378575865,2.16860647563351,1.32879127860801,2.15646942345095,1.84134875521853,0.896271774416229
"9232","Selkie",2025-04-04 22:00:00,0.293586130807748,50.4803401292125,32.6818585854859,6496.90053281877,2.56478311675214,1.6624093031854,2.14636115741757,1.87182287066889,0.895328250894599
"9233","Selkie",2025-04-05,0.275316721264662,50.4798205155594,30.6481172180558,6496.80988141475,2.75592309508721,1.67164706833464,2.13979844888696,1.89339016878255,0.894711625322256
"9234","Selkie",2025-04-05 02:00:00,0.265097112544704,50.4805988390766,29.5104755792435,6496.9456675192,3.91712376079135,2.65627652581073,2.13102974063447,1.91609563991964,0.893882725438042
"9235","Selkie",2025-04-05 04:00:00,0.256444610505479,50.4834735311457,28.5472834581493,6497.44720498612,3.81535854941254,2.54972005272063,2.1185429300756,1.8987153881514,0.892692432761418
"9236","Selkie",2025-04-05 06:00:00,0.249441060094718,50.4897524737208,27.7676517926784,6498.54277680637,2.70749613502965,1.63959726372692,2.11165440638541,1.86653197576122,0.892030775586825
"9237","Selkie",2025-04-05 08:00:00,0.240371090255626,50.491286257044,26.7579873686803,6498.81041892105,3.26478773649195,2.20091185791241,2.10417925694098,1.82303723987325,0.891308717336639
"9238","Selkie",2025-04-05 10:00:00,0.231084999174696,50.4856476299219,25.7242644380912,6497.82653276444,3.08846651886343,2.13125942677488,2.09166747615633,1.67781889891901,0.890090659765129
"9239","Selkie",2025-04-05 12:00:00,0.233813083975613,50.472263250054,26.0279534489702,6495.49155985161,1.63236410917844,1.14298325792602,2.08429805728696,1.60433794751869,0.889367639620192
"9240","Selkie",2025-04-05 14:00:00,0.285107458496238,50.4832715588386,31.7380171011656,6497.41196658256,1.46900984497515,1.04550364891009,2.06103657960544,1.55982276292484,0.887058062424724
"9241","Selkie",2025-04-05 16:00:00,0.27485397922052,50.5095494380858,30.5966050093333,6501.99797893942,2.00166382420511,1.35131445105271,1.97490053613147,1.63910090272806,0.878136505725319
"9242","Selkie",2025-04-05 18:00:00,0.240967570075192,50.5285069427578,26.8243871984629,6505.30803411317,2.81230972970727,1.80403314334949,1.90864549376283,1.73286998256339,0.87086689964367
"9243","Selkie",2025-04-05 20:00:00,0.281341063862632,50.5521015436768,31.3187439684261,6509.42961291478,0.364697678803869,0.266866470795547,1.89096069696082,1.77349109731607,0.868865029812955
"9244","Selkie",2025-04-05 22:00:00,0.239494998995514,50.5487330268471,26.6604613357162,6508.84106296426,1.55785312002277,1.11365168063976,1.91502284650918,1.79545676598093,0.871582387677455
"9245","Selkie",2025-04-06,0.218694362506608,50.5438066651491,24.3449450735952,6507.98040123433,1.92378084484643,1.31861331096335,1.99902284737406,1.8119260691448,0.880694445038971
"9246","Selkie",2025-04-06 02:00:00,0.226210855233225,50.5592695716404,25.1816772164736,6510.68215721505,3.01096445302199,2.21785842226161,2.13968155391973,1.76015399073174,0.894700612988794
"9247","Selkie",2025-04-06 04:00:00,0.245914958571501,50.5772243663216,27.3751279666285,6513.82042674121,2.22278386833851,1.65695410132396,2.29821025320162,1.65518042713176,0.908728704420662
"9248","Selkie",2025-04-06 06:00:00,0.28065200778113,50.5780509811747,31.2420385963053,6513.96493745177,0.877932124236117,0.655802152610877,2.37954407921705,1.57433215626714,0.915254077900885
"9249","Selkie",2025-04-06 08:00:00,0.292999970808601,50.5500120837107,32.6166075528575,6509.06453582196,0.0520364331264451,0.0384711973666819,2.46365248099478,1.46935322186295,0.921554115340869
"9250","Selkie",2025-04-06 10:00:00,0.25651265184976,50.5294425386838,28.5548577859475,6505.47142747578,2.15464768751063,1.36949453934636,2.57400283264821,1.31760043023396,0.929169589185297
"9251","Selkie",2025-04-06 12:00:00,0.218792802484898,50.4745007814259,24.3559033618521,6495.88186226666,2.23950028426969,1.44337927317489,2.55042023536229,1.33358124015083,0.92760174135172
"9252","Selkie",2025-04-06 14:00:00,0.205260766342144,50.4290819009081,22.8495239890446,6487.96288254543,0.509056252177451,0.323104454611016,2.49634687795804,1.43216138725237,0.923885325408455
"9253","Selkie",2025-04-06 16:00:00,0.193655298585937,50.4141350585205,21.5576092280059,6485.35850585841,3.78279425980804,2.77305015875774,2.45058323291039,1.61366714620075,0.920604091050607
