DeployID,Ptt,DepthSensor,Source,Instr,Date,Duration,Time Offset,Count,LocationQuality,Latitude,Longitude,BadTherm,NumBins,Partial,Depth1,Depth1Error,MinTemp1,MaxTemp1,%Ox1,Discont1,Depth2,Depth2Error,MinTemp2,MaxTemp2,%Ox2,Discont2,Depth3,Depth3Error,MinTemp3,MaxTemp3,%Ox3,Discont3,Depth4,Depth4Error,MinTemp4,MaxTemp4,%Ox4,Discont4,Depth5,Depth5Error,MinTemp5,MaxTemp5,%Ox5,Discont5,Depth6,Depth6Error,MinTemp6,MaxTemp6,%Ox6,Discont6,Depth7,Depth7Error,MinTemp7,MaxTemp7,%Ox7,Discont7,Depth8,Depth8Error,MinTemp8,MaxTemp8,%Ox8,Discont8,Depth9,Depth9Error,MinTemp9,MaxTemp9,%Ox9,Discont9,Depth10,Depth10Error,MinTemp10,MaxTemp10,%Ox10,Discont10,Depth11,Depth11Error,MinTemp11,MaxTemp11,%Ox11,Discont11,Depth12,Depth12Error,MinTemp12,MaxTemp12,%Ox12,Discont12,Depth13,Depth13Error,MinTemp13,MaxTemp13,%Ox13,Discont13,Depth14,Depth14Error,MinTemp14,MaxTemp14,%Ox14,Discont14,Depth15,Depth15Error,MinTemp15,MaxTemp15,%Ox15,Discont15,Depth16,Depth16Error,MinTemp16,MaxTemp16,%Ox16,Discont16,,,,,
Barry-Mantis,225758,0.500000,Transmission,UT,13:01:00 16-Mar-2025,16.7,1.00,1,,,, ,14,,0.00,1.00,10.625,10.675,,,5.00,0.00,10.575,10.625,,,10.00,0.00,10.575,10.625,,,15.00,0.00,10.575,10.625,,,20.00,0.00,10.525,10.575,,,25.00,0.00,10.575,10.625,,,30.00,0.00,10.575,10.625,,,35.00,0.00,10.575,10.625,,,40.00,0.00,10.575,10.625,,,45.00,0.00,10.575,10.625,,,50.00,0.00,10.525,10.575,,,55.00,0.00,10.475,10.525,,,60.00,0.00,10.475,10.525,,,65.00,0.00,10.425,10.475,,,,,,,,,,,,,,,,,,,
Barry-Mantis,225758,0.500000,Transmission,UT,14:00:00 16-Mar-2025,16.7,1.00,1,,,, ,15,,0.00,1.00,10.725,10.775,,,5.00,0.00,10.725,10.775,,,10.00,0.00,10.675,10.725,,,15.00,0.00,10.675,10.725,,,20.00,0.00,10.675,10.725,,,25.00,0.00,10.675,10.725,,,30.00,0.00,10.675,10.725,,,35.00,0.00,10.675,10.725,,,40.00,0.00,10.675,10.725,,,45.00,0.00,10.675,10.725,,,50.00,0.00,10.675,10.725,,,55.00,0.00,10.625,10.675,,,60.00,0.00,10.625,10.675,,,65.00,1.00,10.625,10.675,,,70.00,1.00,10.625,10.675,,,,,,,,,,,,,
Barry-Mantis,225758,0.500000,Transmission,UT,18:58:00 22-Mar-2025,1.7,1.00,2,,,, ,4,,0.00,0.00,10.175,10.225,,,5.00,0.00,10.175,10.225,,,10.00,0.00,10.225,10.275,,,15.00,0.00,10.225,10.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry-Mantis,225758,0.500000,Transmission,UT,06:00:00 23-Mar-2025,1.7,1.00,1,,,, ,12,,0.00,1.00,10.125,10.175,,,5.00,0.00,10.125,10.175,,,10.00,0.00,10.125,10.175,,,15.00,0.00,10.125,10.175,,,20.00,0.00,10.125,10.175,,,25.00,0.00,10.125,10.175,,,30.00,0.00,10.125,10.175,,,35.00,0.00,10.125,10.175,,,40.00,0.00,10.125,10.175,,,45.00,0.00,10.125,10.175,,,50.00,0.00,10.125,10.175,,,55.00,0.00,10.125,10.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry-Mantis,225758,0.500000,Transmission,UT,04:14:00 25-Mar-2025,16.7,1.00,1,,,, ,14,,0.00,0.00,10.225,10.275,,,5.00,0.00,10.225,10.275,,,10.00,0.00,10.225,10.275,,,15.00,0.00,10.275,10.325,,,20.00,1.00,10.275,10.325,,,25.00,0.00,10.275,10.325,,,30.00,0.00,10.275,10.325,,,35.00,0.00,10.275,10.325,,,40.00,0.00,10.275,10.325,,,45.00,0.00,10.275,10.325,,,50.00,0.00,10.275,10.325,,,55.00,0.00,10.325,10.375,,,60.00,0.00,10.325,10.375,,,65.00,1.00,10.325,10.375,,,,,,,,,,,,,,,,,,,
Barry-Mantis,225758,0.500000,Transmission,UT,15:02:00 25-Mar-2025,16.7,1.00,1,,,, ,15,,0.00,1.00,10.675,10.725,,,5.00,0.00,10.325,10.375,,,10.00,0.00,10.275,10.325,,,15.00,0.00,10.225,10.275,,,20.00,0.00,10.225,10.275,,,25.00,0.00,10.275,10.325,,,30.00,0.00,10.375,10.425,,,35.00,0.00,10.375,10.425,,,40.00,0.00,10.375,10.425,,,45.00,0.00,10.375,10.425,,,50.00,0.00,10.375,10.425,,,55.00,0.00,10.375,10.425,,,60.00,0.00,10.375,10.425,,,65.00,0.00,10.375,10.425,,,70.00,0.00,10.375,10.425,,,,,,,,,,,,,
Barry-Mantis,225758,0.500000,Transmission,UT,04:02:00 26-Mar-2025,16.7,1.00,3,,,, ,12,,0.00,0.00,10.275,10.325,,,5.00,0.00,10.275,10.325,,,10.00,0.00,10.275,10.325,,,15.00,0.00,10.275,10.325,,,20.00,0.00,10.275,10.325,,,25.00,0.00,10.275,10.325,,,30.00,0.00,10.275,10.325,,,35.00,0.00,10.275,10.325,,,40.00,0.00,10.275,10.325,,,45.00,1.00,10.275,10.325,,,50.00,0.00,10.275,10.325,,,55.00,0.00,10.275,10.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry-Mantis,225758,0.500000,Transmission,UT,14:02:00 26-Mar-2025,16.7,1.00,1,,,, ,13,,0.00,1.00,10.875,10.925,,,5.00,0.00,10.375,10.425,,,10.00,0.00,10.375,10.425,,,15.00,0.00,10.325,10.375,,,20.00,0.00,10.325,10.375,,,25.00,0.00,10.325,10.375,,,30.00,0.00,10.325,10.375,,,35.00,0.00,10.325,10.375,,,40.00,0.00,10.325,10.375,,,45.00,0.00,10.325,10.375,,,50.00,0.00,10.325,10.375,,,55.00,0.00,10.325,10.375,,,60.00,0.00,10.325,10.375,,,,,,,,,,,,,,,,,,,,,,,,,
Barry-Mantis,225758,0.500000,Transmission,UT,15:00:00 26-Mar-2025,16.7,1.00,2,,,, ,13,,0.00,1.00,10.875,10.925,,,5.00,0.00,10.475,10.525,,,10.00,0.00,10.425,10.475,,,15.00,0.00,10.425,10.475,,,20.00,0.00,10.425,10.475,,,25.00,0.00,10.425,10.475,,,30.00,0.00,10.425,10.475,,,35.00,0.00,10.425,10.475,,,40.00,0.00,10.425,10.475,,,45.00,0.00,10.425,10.475,,,50.00,0.00,10.425,10.475,,,55.00,0.00,10.425,10.475,,,60.00,0.00,10.425,10.475,,,,,,,,,,,,,,,,,,,,,,,,,
Barry-Mantis,225758,0.500000,Transmission,UT,14:03:00 27-Mar-2025,16.7,1.00,1,,,, ,14,,0.00,0.00,10.575,10.625,,,5.00,0.00,10.525,10.575,,,10.00,0.00,10.475,10.525,,,15.00,0.00,10.425,10.475,,,20.00,0.00,10.425,10.475,,,25.00,0.00,10.425,10.475,,,30.00,0.00,10.425,10.475,,,35.00,0.00,10.425,10.475,,,40.00,1.00,10.425,10.475,,,45.00,1.00,10.425,10.475,,,50.00,0.00,10.425,10.475,,,55.00,0.00,10.425,10.475,,,60.00,0.00,10.425,10.475,,,65.00,0.00,10.425,10.475,,,,,,,,,,,,,,,,,,,
