DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
Barry-Mantis,225758,UT,DS,2,0,2,227,227,12:17:55 09-Feb-2025,NP,B,50.0305,-5.4749,50.0305,-5.4749,6,,401677680,-130
Barry-Mantis,225758,UT,DS,1,0,1,,,12:21:43 09-Feb-2025,MC,B,50.0302,-5.4740,50.0302,-5.4740,6,,401677680,-125
Barry-Mantis,225758,UT,DS,4,0,4,198,110,12:37:59 09-Feb-2025,NN,1,50.0326,-5.4835,50.0326,-5.4835,46,,401677676,-125
Barry-Mantis,225758,UT,DS,1,0,1,,,13:32:45 09-Feb-2025,O3,B,50.0335,-5.4765,50.0335,-5.4765,8,,401677678,-136
Barry-Mantis,225758,UT,DS,1,0,1,,,14:20:51 09-Feb-2025,NN,B,50.0357,-5.4710,50.0357,-5.4710,8,,401677672,-133
Barry-Mantis,225758,UT,DS,1,0,1,,,15:19:03 09-Feb-2025,O3,B,50.0357,-5.4644,50.0357,-5.4644,8,,401677676,-134
Barry-Mantis,225758,UT,DS,1,0,1,,,17:55:33 09-Feb-2025,CS,B,50.0323,-5.4537,50.0323,-5.4537,8,,401677665,-141
Barry-Mantis,225758,UT,DS,1,0,0,,,18:40:33 09-Feb-2025,NK,B,50.0316,-5.4578,50.0316,-5.4578,8,,401677665,-125
Barry-Mantis,225758,UT,DS,1,0,1,,,19:00:54 09-Feb-2025,SR,B,50.0223,-5.4618,50.0223,-5.4618,6,,401677669,-125
Barry-Mantis,225758,UT,DS,1,0,1,,,19:38:36 09-Feb-2025,MB,B,50.0321,-5.4536,50.0321,-5.4536,8,,401677666,-129
Barry-Mantis,225758,UT,DS,2,0,0,155,155,20:13:18 09-Feb-2025,NK,B,50.0135,-5.4585,50.0135,-5.4585,8,,401677666,-128
Barry-Mantis,225758,UT,DS,3,0,3,255,173,20:33:17 09-Feb-2025,NP,A,50.0107,-5.4642,50.0107,-5.4642,6,,401677671,-125
Barry-Mantis,225758,UT,DS,3,0,2,270,173,20:35:39 09-Feb-2025,SR,A,50.0118,-5.4660,50.0118,-5.4660,6,,401677670,-132
Barry-Mantis,225758,UT,DS,2,0,2,56,56,21:12:00 09-Feb-2025,MB,B,50.0189,-5.4689,50.0189,-5.4689,8,,401677672,-127
Barry-Mantis,225758,UT,DS,4,0,2,184,46,22:28:07 09-Feb-2025,NN,1,50.0429,-5.4727,50.0429,-5.4727,58,,401677668,-123
Barry-Mantis,225758,UT,DS,2,0,2,210,210,10:19:59 10-Feb-2025,MC,B,50.0920,-5.5114,50.0920,-5.5114,8,,401677670,-119
Barry-Mantis,225758,UT,DS,2,0,0,637,637,10:23:29 10-Feb-2025,NP,B,50.1136,-5.5342,50.1136,-5.5342,6,,401677670,-128
Barry-Mantis,225758,UT,DS,3,0,1,251,235,11:56:25 10-Feb-2025,MC,A,50.0421,-5.4809,50.0421,-5.4809,8,,401677671,-116
Barry-Mantis,225758,UT,DS,2,0,2,212,212,12:04:48 10-Feb-2025,NP,B,50.0421,-5.4810,50.0421,-5.4810,6,,401677673,-127
Barry-Mantis,225758,UT,DS,1,0,0,,,12:34:15 10-Feb-2025,NN,B,50.0416,-5.4800,50.0416,-5.4800,6,,401677673,-130
Barry-Mantis,225758,UT,DS,1,0,0,,,12:55:09 10-Feb-2025,O3,B,50.0325,-5.4758,50.0325,-5.4758,6,,401677681,-118
Barry-Mantis,225758,UT,DS,1,0,1,,,05:47:38 11-Feb-2025,SR,B,49.9614,-5.3947,49.9614,-5.3947,,,401677723,-121
Barry-Mantis,225758,UT,DS,2,0,1,406,406,07:57:36 11-Feb-2025,NK,B,50.0564,-5.4666,,,8,,401677657,-120
Barry-Mantis,225758,UT,DS,4,0,4,107,49,08:22:21 11-Feb-2025,CS,2,50.0801,-5.4401,50.0801,-5.4401,56,,401677662,-137
Barry-Mantis,225758,UT,DS,1,0,1,,,10:41:44 11-Feb-2025,MB,B,50.0964,-5.4615,50.0964,-5.4615,8,,401677668,-132
Barry-Mantis,225758,UT,DS,1,0,1,,,15:24:36 11-Feb-2025,O3,B,50.0984,-5.4591,50.0984,-5.4591,8,,401677666,-133
Barry-Mantis,225758,UT,DS,1,0,1,,,18:00:19 11-Feb-2025,SR,B,50.1134,-5.4816,50.1134,-5.4816,8,,401677668,-129
