DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
Monarch,238971,UT,23:15:06 09-Mar-2025,,,3,50.7516,-6.3727,CRC 44f9.eab8,13:00:00 05-Mar-2025,CumulativeDist,8,145,62,68,202,208,18,21,104,165,27,180,142,47,146,74,172,50,13,,,,,,,,,,,,,
Monarch,238971,UT,23:15:51 09-Mar-2025,,,3,50.7516,-6.3727,CRC a4d8.70dd,15:00:00 05-Mar-2025,CumulativeDist,20,145,54,4,202,242,10,138,73,21,19,110,133,184,55,228,218,236,207,,,,,,,,,,,,,
Monarch,238971,UT,23:16:37 09-Mar-2025,,,3,50.7516,-6.3727,CRC 84f8.57d9,17:00:00 05-Mar-2025,CumulativeDist,16,145,62,4,203,16,0,15,130,18,2,127,32,4,124,16,16,19,248,,,,,,,,,,,,,
Monarch,238971,UT,23:19:39 09-Mar-2025,,,3,50.7516,-6.3727,CRC 86bf.64be,01:00:00 06-Mar-2025,CumulativeDist,16,209,47,196,204,16,0,15,130,2,2,127,0,2,124,16,16,19,248,,,,,,,,,,,,,
Monarch,238971,UT,23:24:58 09-Mar-2025,,,3,50.7501,-6.3723,CRC 444f.9044,21:00:00 26-Feb-2025,CumulativeDist,8,145,19,244,181,80,0,15,130,2,2,255,0,128,124,16,16,19,248,,,,,,,,,,,,,
Monarch,238971,UT,23:25:44 09-Mar-2025,,,3,50.7501,-6.3723,CRC (both failed),,,40,75,64,238,238,238,238,232,161,238,142,127,144,46,246,15,120,40,233,133,31,76,191,35,140,97,95,26,70,31,130,
Monarch,238971,UT,23:26:29 09-Mar-2025,,,3,50.7501,-6.3723,CRC c466.921d,23:00:00 26-Feb-2025,CumulativeDist,24,145,25,132,181,112,0,15,130,2,2,127,15,0,124,58,57,61,143,,,,,,,,,,,,,
Monarch,238971,UT,23:29:31 09-Mar-2025,,,3,50.7501,-6.3723,CRC 2503.deac,,,4,177,0,253,129,172,44,40,30,120,223,126,1,228,93,23,14,222,30,,,,,,,,,,,,,
Monarch,238971,UT,23:30:16 09-Mar-2025,,,3,50.7501,-6.3723,CRC c525.2f88,07:00:00 25-Feb-2025,CumulativeDist,24,177,9,68,178,112,0,15,130,2,2,127,0,0,124,49,157,171,175,,,,,,,,,,,,,
Monarch,238971,UT,09:33:21 10-Mar-2025,,,A,50.7421,-6.4401,CRC 412b.ba3a,19:00:00 28-Feb-2025,CumulativeDist,8,49,10,196,185,48,0,15,130,2,66,204,245,159,109,205,72,34,202,,,,,,,,,,,,,
Monarch,238971,UT,09:41:13 10-Mar-2025,,,A,50.7421,-6.4401,CRC (both failed),,,42,75,128,238,238,238,238,238,238,235,234,238,238,238,110,140,170,12,139,106,103,91,43,119,104,154,181,193,119,131,252,
Monarch,238971,UT,09:41:13 10-Mar-2025,,,B,50.7392,-6.4311,CRC (both failed),,,42,75,128,230,238,238,238,238,238,234,190,231,168,168,131,174,100,47,133,132,149,187,76,163,219,188,35,215,71,147,248,
Monarch,238971,UT,20:13:02 10-Mar-2025,,,1,50.7342,-6.4901,CRC a55a.236b,15:00:00 04-Mar-2025,CumulativeDist,20,177,22,132,200,240,0,15,130,2,2,125,38,174,11,236,106,245,187,,,,,,,,,,,,,
Monarch,238971,UT,20:14:42 10-Mar-2025,,,1,50.7342,-6.4901,CRC 655b.943a,19:00:00 04-Mar-2025,CumulativeDist,12,177,22,196,201,48,0,234,248,251,72,251,45,157,159,41,41,248,175,,,,,,,,,,,,,
Monarch,238971,UT,20:15:32 10-Mar-2025,,,1,50.7342,-6.4901,CRC 0019.ce0d,13:19:00 25-Apr-2024,PDT,0,17,70,68,203,83,131,225,246,230,79,241,33,231,134,68,245,168,234,,,,,,,,,,,,,
Monarch,238971,UT,20:20:14 10-Mar-2025,,,1,50.7342,-6.4901,CRC 0478.d5fa,05:00:00 05-Mar-2025,CumulativeDist,0,145,30,4,202,80,0,15,130,2,2,119,54,180,237,103,178,240,93,,,,,,,,,,,,,
Monarch,238971,UT,20:26:22 10-Mar-2025,,,B,50.7397,-6.4967,CRC 04b9.6538,,,0,145,46,70,203,80,0,15,130,2,2,127,0,0,124,16,16,19,248,,,,,,,,,,,,,
Monarch,238971,UT,01:57:17 11-Mar-2025,,,B,50.7394,-6.5376,CRC e0a6.85a6,21:00:00 10-Mar-2025,CumulativeDist,28,17,41,132,213,80,0,15,130,2,2,121,0,0,124,16,0,19,112,,,,,,,,,,,,,
Monarch,238971,UT,05:50:21 11-Mar-2025,,,B,50.7409,-6.5474,CRC a4d8.8f24,15:00:00 01-Mar-2025,CumulativeDist,20,145,54,4,194,240,0,15,162,2,79,217,17,19,118,158,7,189,253,,,,,,,,,,,,,
Monarch,238971,UT,05:56:21 11-Mar-2025,,,A,50.7603,-6.5047,CRC 54.e1,,,10,129,73,61,221,17,0,119,154,163,128,171,119,57,71,125,7,222,187,,,,,,,,,,,,,
Monarch,238971,UT,05:59:40 11-Mar-2025,,,A,50.7603,-6.5047,CRC c63e.9744,09:00:00 06-Mar-2025,CumulativeDist,24,209,15,132,204,144,0,15,130,2,2,127,0,0,108,194,238,150,30,,,,,,,,,,,,,
Monarch,238971,UT,07:25:47 11-Mar-2025,,,0,50.7539,-6.5287,CRC,04:07:33 11-Mar-2025,Fast-GPS,233,172,131,194,120,70,130,233,124,109,73,207,245,143,226,76,55,123,95,64,9,55,96,131,149,54,13,255,228,97,54,
Monarch,238971,UT,07:28:12 11-Mar-2025,,,0,50.7539,-6.5287,CRC (both failed),,,42,76,128,238,238,110,236,238,238,238,239,238,238,110,254,125,76,96,238,237,210,128,250,207,140,199,23,66,51,236,109,
Monarch,238971,UT,07:28:57 11-Mar-2025,,,0,50.7539,-6.5287,CRC e51a.e49d,23:00:00 04-Mar-2025,CumulativeDist,28,177,6,132,201,112,0,15,146,66,2,127,4,4,102,84,16,51,125,,,,,,,,,,,,,
