DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
Mary,225765,UT,12:49:55 29-Oct-2024,,,B,50.1105,-5.4829,CRC,11:00:08 29-Oct-2024,Fast-GPS,165,117,96,16,58,43,183,87,104,77,92,215,3,162,69,237,91,9,94,5,248,172,51,29,128,0,16,,,,,
Mary,225765,UT,18:37:10 29-Oct-2024,,,A,50.1190,-5.4952,CRC 778e.c914,,,14,241,35,130,254,93,50,55,189,2,55,171,72,56,147,150,97,204,121,7,165,207,255,70,142,63,101,145,242,90,162,
Mary,225765,UT,18:39:49 29-Oct-2024,,,A,50.1190,-5.4952,CRC 4231.5a80,,,8,81,76,74,137,52,121,135,144,1,126,206,30,62,63,,,,,,,,,,,,,,,,,
Mary,225765,UT,19:36:43 29-Oct-2024,,,B,50.1185,-5.5274,CRC,,Fast-GPS,133,200,245,254,25,160,207,135,118,153,17,76,30,160,126,6,221,209,14,77,2,74,226,32,69,37,190,,,,,
Mary,225765,UT,19:57:28 29-Oct-2024,,,B,50.1134,-5.5296,CRC 2b23.c95b,15:00:00 21-Oct-2024,CumulativeDist,5,113,8,194,170,240,72,76,150,79,245,170,34,81,35,237,121,234,66,,,,,,,,,,,,,
Mary,225765,UT,20:58:34 29-Oct-2024,,,B,50.1137,-5.5377,CRC 8583.7688,03:00:00 12-Oct-2024,CumulativeDist,16,177,32,194,152,48,129,225,133,226,203,194,14,194,23,33,177,26,217,225,122,85,228,144,58,235,109,,,,,
Mary,225765,UT,21:43:33 29-Oct-2024,,,B,50.1118,-5.5693,CRC 8583.f58c,17:00:00 29-Oct-2024,CumulativeDist,16,177,32,194,187,19,213,211,245,104,44,78,144,78,94,201,177,28,53,206,68,142,32,133,77,36,195,,,,,
Mary,225765,UT,22:32:09 29-Oct-2024,,,B,50.1135,-5.5804,CRC 697e.f1c2,19:00:00 29-Oct-2024,CumulativeDist,13,49,31,130,187,48,76,15,130,2,4,25,225,224,71,190,102,110,131,121,162,151,111,135,135,242,72,71,35,131,184,
Mary,225765,UT,22:35:24 29-Oct-2024,,,B,50.1145,-5.5682,CRC,19:04:38 29-Oct-2024,Fast-GPS,101,118,98,76,249,62,128,21,239,192,51,10,152,188,72,237,246,103,137,109,8,130,8,,,,,,,,,
Mary,225765,UT,22:44:52 29-Oct-2024,,,B,50.1066,-5.5314,CRC,21:21:51 29-Oct-2024,Fast-GPS,133,118,170,230,135,111,100,217,166,102,236,141,145,102,100,230,230,238,204,157,187,204,153,,,,,,,,,
Mary,225765,UT,00:02:58 30-Oct-2024,,,A,50.0897,-5.5280,CRC dea4.79bf,07:25:00 13-Oct-2024,PDT,27,209,105,10,105,217,33,16,21,48,137,226,16,184,39,,,,,,,,,,,,,,,,,
Mary,225765,UT,00:04:38 30-Oct-2024,,,A,50.0897,-5.5280,CRC,23:00:09 29-Oct-2024,Fast-GPS,197,118,224,18,131,95,83,56,121,227,240,117,36,98,169,4,148,189,232,227,220,130,239,47,188,166,9,,,,,
Mary,225765,UT,01:49:06 30-Oct-2024,,,B,50.0995,-5.5420,CRC 14ee.9a13,04:00:00 29-Oct-2024,CumulativeDist,2,145,59,130,186,70,143,240,81,190,184,163,20,204,30,104,37,112,212,13,223,92,178,175,221,140,226,145,87,240,172,
Mary,225765,UT,04:42:21 30-Oct-2024,,,B,50.0854,-5.5707,CRC dfa4.531b,23:25:00 29-Oct-2024,PDT,27,241,105,10,237,217,4,159,186,100,103,62,169,204,21,,,,,,,,,,,,,,,,,
Mary,225765,UT,05:30:44 30-Oct-2024,,,B,50.0915,-5.5469,CRC,05:26:40 30-Oct-2024,Fast-GPS,229,120,173,80,155,224,122,157,113,176,215,194,16,91,97,138,189,193,131,106,39,206,209,221,138,117,103,86,34,118,205,
Mary,225765,UT,05:54:29 30-Oct-2024,,,B,50.0822,-5.4461,CRC,00:02:59 30-Oct-2024,Fast-GPS,165,120,1,118,222,113,243,170,104,195,38,188,54,55,21,17,131,2,38,54,99,160,124,187,146,126,198,,,,,
Mary,225765,UT,05:58:19 30-Oct-2024,,,B,50.0822,-5.4461,CRC,23:05:31 04-Mar-2024,Fast-GPS,129,146,226,190,65,141,178,90,74,184,236,195,249,60,244,109,108,17,51,248,194,174,1,123,30,233,105,242,182,229,152,
Mary,225765,UT,06:17:41 30-Oct-2024,,,B,50.0815,-5.4459,CRC,05:26:40 30-Oct-2024,Fast-GPS,229,120,173,80,155,226,184,199,110,249,24,203,125,61,76,57,10,254,243,1,103,106,90,171,126,209,94,50,52,0,0,
Mary,225765,UT,07:03:36 30-Oct-2024,,,B,50.0814,-5.4582,CRC 1d1d.9f0d,05:00:00 30-Oct-2024,CumulativeDist,3,177,7,66,188,80,52,15,130,3,35,47,87,37,196,24,52,229,226,100,57,88,154,123,17,233,75,74,99,50,243,
Mary,225765,UT,07:41:13 30-Oct-2024,,,B,50.0826,-5.4579,CRC,05:26:40 30-Oct-2024,Fast-GPS,229,120,173,80,155,226,184,207,121,23,51,33,132,151,36,111,128,60,213,3,48,195,1,242,246,123,118,162,0,214,143,
Mary,225765,UT,09:47:18 30-Oct-2024,,,B,50.0934,-5.5216,CRC,05:26:40 30-Oct-2024,Fast-GPS,229,120,173,80,155,178,189,8,43,194,85,20,234,64,170,67,203,126,112,153,191,191,231,215,164,254,82,128,170,91,166,
Mary,225765,UT,09:58:57 30-Oct-2024,,,B,50.0913,-5.4811,CRC 1d1d.b1af,05:00:00 30-Oct-2024,CumulativeDist,3,177,7,66,188,80,166,15,130,2,4,18,234,66,130,162,195,58,65,0,62,8,8,16,51,138,10,139,12,12,233,
Mary,225765,UT,10:02:18 30-Oct-2024,,,B,50.0913,-5.4811,CRC,03:22:54 30-Oct-2024,Fast-GPS,133,120,107,108,0,96,250,244,187,81,204,181,177,28,202,115,74,217,5,248,81,2,0,,,,,,,,,
Mary,225765,UT,10:55:10 30-Oct-2024,,,B,50.0890,-5.4954,CRC 6b53.b4f4,,,13,113,20,250,245,219,157,101,192,104,155,2,192,26,200,133,159,218,141,156,160,146,179,135,165,30,254,70,182,181,124,
